id,created_at,updated_at,slug,translation,sana_id,sana_name,is_iran
147,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""مرند""}",5452,مرند,1
148,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""جلفا""}",5453,جلفا,1
149,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""ميانه""}",5454,ميانه,1
150,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""كليبر""}",5455,كليبر,1
151,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""مراغه""}",5456,مراغه,1
152,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""اهر""}",5457,اهر,1
153,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""هشترود""}",5458,هشترود,1
154,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""سراب""}",5459,سراب,1
155,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""بستان آباد""}",5460,بستان آباد,1
156,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""شبستر""}",5461,شبستر,1
157,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""بناب""}",5462,بناب,1
158,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""هريس""}",5463,هريس,1
159,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""ملكان""}",5464,ملكان,1
160,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""آذر شهر""}",5465,آذر شهر,1
161,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""چاراويماق""}",5466,چاراويماق,1
162,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""اسكو""}",5467,اسكو,1
163,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""عجب شير""}",5468,عجب شير,1
164,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""ايلخچي""}",5469,ايلخچي,1
165,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""باسمنج""}",5470,باسمنج,1
166,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""تركمانچاي""}",5471,تركمانچاي,1
167,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""خامنه""}",5472,خامنه,1
168,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""خسروشهر""}",5473,خسروشهر,1
169,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""زنوز""}",5474,زنوز,1
170,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""سردرود""}",5475,سردرود,1
171,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""سيس""}",5476,سيس,1
172,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""شرفخانه""}",5477,شرفخانه,1
173,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""شندآباد""}",5478,شندآباد,1
174,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""صوفيان""}",5479,صوفيان,1
175,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""طسوج""}",5480,طسوج,1
176,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""كشكسراي""}",5481,كشكسراي,1
177,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""گاوگان""}",5482,گاوگان,1
178,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""ممقان""}",5483,ممقان,1
179,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""مهربان""}",5484,مهربان,1
180,2026-06-12 23:33:09.309411+00,2026-06-12 23:33:09.309411+00,,"{""fa"":""وايقان""}",5485,وايقان,1
